City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Darhan,49.4867,105.9228,56.75,86,7,3.24,MN,2022-06-22 20:00:26
68,East London,-33.0153,27.9116,66.7,77,96,18.9,ZA,2022-06-22 20:00:27
69,Puerto Ayora,-0.7393,-90.3518,72.55,89,59,7.0,EC,2022-06-22 20:00:27
70,Jamestown,42.097,-79.2353,85.51,68,1,13.15,US,2022-06-22 20:00:27
71,Husavik,66.0449,-17.3389,39.92,79,99,21.34,IS,2022-06-22 19:59:22
72,Comodoro Rivadavia,-45.8667,-67.5,40.03,46,0,2.55,AR,2022-06-22 20:00:28
73,Flinders,-34.5833,150.8552,52.18,79,34,4.0,AU,2022-06-22 20:00:28
74,Palsong,13.4248,123.2963,76.8,90,100,1.54,PH,2022-06-22 20:00:29
75,Klaksvik,62.2266,-6.589,50.92,83,93,26.62,FO,2022-06-22 20:00:29
76,Alausi,-2.2,-78.8333,55.74,76,79,3.02,EC,2022-06-22 20:00:29
77,Hobart,-42.8794,147.3294,50.25,85,75,5.75,AU,2022-06-22 19:57:08
78,Coquimbo,-29.9533,-71.3436,60.76,65,30,15.14,CL,2022-06-22 20:00:30
79,Shelburne,44.0787,-80.2041,80.24,44,21,14.94,CA,2022-06-22 20:00:31
80,Iranshahr,27.2025,60.6848,88.9,39,21,12.26,IR,2022-06-22 20:00:31
81,Ostrovnoy,68.0531,39.5131,52.29,76,99,10.78,RU,2022-06-22 20:00:32
82,Qaqortoq,60.7167,-46.0333,46.44,59,0,1.25,GL,2022-06-22 20:00:32
83,Busselton,-33.65,115.3333,61.7,87,100,8.01,AU,2022-06-22 20:00:33
84,Lata,40.1629,-8.3327,63.91,84,34,4.27,PT,2022-06-22 20:00:34
85,Barrow,71.2906,-156.7887,48.22,81,100,13.8,US,2022-06-22 20:00:15
86,Ornskoldsvik,63.2909,18.7153,52.09,88,76,7.94,SE,2022-06-22 20:00:34
87,Butaritari,3.0707,172.7902,81.12,78,97,10.04,KI,2022-06-22 20:00:34
88,Bairiki,1.3292,172.9752,80.83,79,60,12.64,KI,2022-06-22 20:00:35
89,Beringovskiy,63.05,179.3167,46.87,84,100,9.33,RU,2022-06-22 20:00:35
90,Alcantara,-2.4089,-44.4147,88.0,83,99,5.12,BR,2022-06-22 20:00:36
91,Dikson,73.5069,80.5464,38.01,86,100,15.43,RU,2022-06-22 20:00:37
92,Cape Town,-33.9258,18.4232,60.12,88,0,2.3,ZA,2022-06-22 19:59:24
93,Lompoc,34.6391,-120.4579,75.85,72,0,17.27,US,2022-06-22 20:01:37
94,Vaini,-21.2,-175.2,74.28,58,98,15.17,TO,2022-06-22 20:01:38
95,Natal,-5.795,-35.2094,77.22,88,20,8.05,BR,2022-06-22 19:58:42
96,Bengkulu,-3.8004,102.2655,74.35,94,100,7.72,ID,2022-06-22 20:01:38
97,Qaanaaq,77.484,-69.3632,39.33,61,9,1.19,GL,2022-06-22 20:01:38
98,Banda Aceh,5.5577,95.3222,78.69,82,100,9.78,ID,2022-06-22 20:01:39
99,Lircay,-12.9896,-74.7205,52.92,55,100,6.69,PE,2022-06-22 20:01:40
100,Faya,18.3851,42.4509,72.91,50,90,2.89,SA,2022-06-22 20:01:40
101,Douglas,41.3,-96.167,90.39,35,0,5.75,US,2022-06-22 20:01:41
102,Warrington,53.3925,-2.5802,68.72,66,0,6.91,GB,2022-06-22 20:01:41
103,Port Elizabeth,-33.918,25.5701,60.1,92,96,1.01,ZA,2022-06-22 20:01:42
104,Yugorsk,61.3133,63.3319,59.34,98,49,2.71,RU,2022-06-22 20:01:42
105,Panguna,-6.3164,155.4848,66.83,95,100,1.99,PG,2022-06-22 20:01:43
106,Cidreira,-30.1811,-50.2056,61.38,94,97,8.61,BR,2022-06-22 20:01:43
107,Agua Dulce,18.1333,-94.1333,81.12,81,100,12.95,MX,2022-06-22 20:01:43
108,Hilo,19.7297,-155.09,78.62,87,34,3.0,US,2022-06-22 19:57:04
109,Mogadishu,2.0371,45.3438,77.41,79,56,19.62,SO,2022-06-22 20:01:44
110,San Quintin,30.4833,-115.95,75.87,61,1,13.71,MX,2022-06-22 20:01:44
111,Togur,58.3631,82.8265,55.13,94,32,5.95,RU,2022-06-22 20:01:45
112,Souillac,-20.5167,57.5167,69.87,77,40,12.06,MU,2022-06-22 20:01:45
113,Atar,20.5169,-13.0499,97.45,28,29,10.51,MR,2022-06-22 20:01:45
114,Ishigaki,24.3448,124.1572,84.81,77,0,17.27,JP,2022-06-22 20:01:46
115,Kapit,2.0167,112.9333,73.49,100,100,1.57,MY,2022-06-22 20:01:46
116,Alice Springs,-23.7,133.8833,38.75,87,0,5.75,AU,2022-06-22 20:01:46
117,Garowe,8.4054,48.4845,79.03,53,90,22.73,SO,2022-06-22 20:01:47
118,Geraldton,-28.7667,114.6,52.21,100,75,13.8,AU,2022-06-22 20:01:47
119,Tigil,57.8,158.6667,48.52,86,99,6.55,RU,2022-06-22 20:01:47
120,Jalu,29.0331,21.5482,86.85,20,0,8.14,LY,2022-06-22 20:01:48
121,Saint Anthony,45.0205,-93.218,84.85,47,20,14.97,US,2022-06-22 20:01:48
122,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,86.74,58,39,2.86,BR,2022-06-22 20:01:48
123,Polovinnoye,54.7914,65.9864,59.22,80,0,13.11,RU,2022-06-22 20:01:49
124,Taoudenni,22.6783,-3.9836,104.07,14,14,8.28,ML,2022-06-22 20:01:49
125,Mehamn,71.0357,27.8492,42.75,93,75,9.22,NO,2022-06-22 20:01:49
126,Beyneu,45.3167,55.2,88.41,25,70,17.56,KZ,2022-06-22 20:01:50
127,Ilulissat,69.2167,-51.1,37.42,81,75,4.61,GL,2022-06-22 20:01:50
128,Zgorzelec,51.1494,15.0084,70.12,57,89,2.17,PL,2022-06-22 20:01:50
129,Isangel,-19.55,169.2667,70.21,76,95,9.91,VU,2022-06-22 20:01:51
130,Katsuura,35.1333,140.3,69.71,95,100,9.51,JP,2022-06-22 19:57:17
131,Victoria,22.2855,114.1577,84.38,84,37,5.99,HK,2022-06-22 19:56:53
